Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point
20934 Northern Blvd,4073090015.0,4156796,19,Staples,40.75921149,-73.77358034,Bayside-Bayside Hills,209-34,29,NORTHERN BLVD,11361,411,1447,POINT (-73.77358033999997 40.75921149000004)
9130 Van Wyck Expy,4093750174.0,4196964,29,Staples,40.69876594,-73.81483722,Richmond Hill,91-30,92,VAN WYCK EXPY,11418,409,14202,POINT (-73.81483721999996 40.698765940000044)
157 W 72 St,1011440010.0,1029921,6,Goodwill Thrift Shop,40.77816796,-73.98056007,Lincoln Square,157,15,W 72 ST,10023,107,157,POINT (-73.98056006999997 40.778167960000076)
436 Atlantic Ave,3001840014.0,3000929,33,Salvation Army Thrift Store,40.68651013,-73.98377425,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,436,60,ATLANTIC AVE,11217,302,41,POINT (-73.98377424999995 40.686510130000045)
330-340 Baychester Ave,2051410035.0,2102454,12,Staples,40.86766659,-73.83118286,Co-op City,330,47,BAYCHESTER AVE,10475,210,46201,POINT (-73.83118285999996 40.86766659000006)
22 Quincy St,3019720001.0,3056489,35,Salvation Army Thrift Store,40.68582925,-73.96039515,Clinton Hill,22,32,QUINCY ST,11238,302,231,POINT (-73.96039514999995 40.68582925000004)
5-9 Union Square W,1008420023.0,1016064,2,Staples,40.73545282,-73.9915492,Hudson Yards-Chelsea-Flatiron-Union Square,5,77,UNION SQUARE W,10003,105,52,POINT (-73.99154919999995 40.735452820000035)
2892 Ocean Ave,3074210037.0,3203148,48,Staples,40.59102294,-73.94983691,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2892,45,OCEAN AVE,11235,315,592,POINT (-73.94983690999999 40.59102294000007)
208 8 Ave,1007700076.0,1014059,3,Salvation Army Thrift Store,40.7437615,-73.99958499,Hudson Yards-Chelsea-Flatiron-Union Square,208,28,8 AVE,10011,104,87,POINT (-73.99958499 40.74376150000006)
610 Exterior St,2023570035.0,2119100,8,Best Buy,40.82138928,-73.93083213,West Concourse,610,79,EXTERIOR ST,10451,204,63,POINT (-73.93083212999994 40.82138928000006)
4747 Van Dam St,4002530001.0,4003448,26,Goodwill Outlet Center,40.74199149,-73.93410467,Hunters Point-Sunnyside-West Maspeth,47-47,64,VAN DAM ST,11101,402,199,POINT (-73.93410466999995 40.74199149000003)
6822 3 Ave,3058620050.0,3145151,43,Salvation Army Thrift Store,40.63627068,-74.02583717,Bay Ridge,6822,84,3 AVE,11220,310,68,POINT (-74.02583716999999 40.63627068000005)
1936 38 St,4008110019.0,4436967,22,Greenchip Ewaste,40.77804751,-73.90104571,Steinway,19-36,23,38 ST,11105,401,12301,POINT (-73.90104570999995 40.77804751000008)
