Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293472290039,First Avenue between Houston and First Street (West Side),-73.98863983154297,Chinatown,,,Wednesday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863936999999 40.72293374000003),10002
Brooklyn,35,Prospect Heights Community Farm,12:00 PM,10:00 AM,40.6780891418457,252 St. Marks Ave.,-73.96774291992188,Prospect Heights,,,Sundays,Year Round,Prospect Heights Community Farm,https://www.phcfarm.com/gardening-info/composting/,308,2002,POINT (-73.967744 40.678089),11238
Queens,22,Ditmars Blvd N/W Commuter Drop-Off,11:00 AM,08:00 AM,40.77476119995117,"22-75 31st St, Astoria, NY 11102 (Closest approximation, there is no address for this stretch of sidewalk)",-73.91250610351563,Steinway,,,Tuesdays,Year Round,NYC Compost Project,,401,2003,POINT (-73.912504 40.77476),11105
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889419555664,14-33 30th Drive,-73.92994689941406,Old Astoria,,,Wednesdays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102
Brooklyn,33,McCarren Park Greenmarket,02:00 PM,08:00 AM,40.72045135498047,"Union Ave at Driggs Ave,Brooklyn,NY,11222",-73.95270538330078,North Side-South Side,,,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,301,515,POINT (-73.95270850999998 40.72045156000007),11211
Queens,25,Jackson Heights Greenmarket,02:00 PM,08:00 AM,40.75343322753906,34th Ave b/t 79th & 80th Sts,-73.88782501220703,Jackson Heights,,,Sundays,Year Round,NYC Compost Project,http://www.bignyc.org/drop-sites,403,285,POINT (-73.8878215299999 40.75343426000006),11372
Queens,22,Astoria Library,06:00 PM,10:00 AM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,,,Wednesdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Brooklyn,42,OPEN FOR SEASON: Pink Houses Community Farm,12:00 PM,10:00 AM,40.66829299926758,1257 Loring Avenue,-73.86444091796875,East New York,,,Saturdays,"Seasonal Market, June-November",East New York Farms!,https://ucceny.org/enyf/,305,1000,POINT (-73.86444 40.668292),11208
Queens,26,CLOSING JULY 8: Junkluggers,06:00 PM,10:00 AM,40.765567779541016,"33-56 11th Street, Queens",-73.9375228881836,Queensbridge-Ravenswood-Long Island City,,,Mondays,Year Round,NYC Compost Project,,401,1001,POINT (-73.937525 40.765566),11106
Manhattan,1,Bowling Green Greenmarket,2pm,8am,40.70471954345703,"Broadway at Battery Place,New York,NY, 10004",-74.0135269165039,Battery Park City-Lower Manhattan,,,Tuesday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,101,9,POINT (-74.01353 40.704718),10004
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Monday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Brooklyn,40,Cortelyou Greenmarket,01:00 PM,08:00 AM,40.64082336425781,"Cortelyou Rd at Rugby Rd, Brooklyn, NY, 11226",-73.96530151367188,Flatbush,,,Sundays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,314,520,POINT (-73.96530066999998 40.640824690000045),11226
Manhattan,1,Tribeca Greenmarket,1pm,8am,40.71630096435547,"Greenwich Street at Chambers Street,New York,NY",-74.0109634399414,Battery Park City-Lower Manhattan,,,Saturday,Year Round,"GrowNYC, NYC Dept of Sanitation & Community Partners",http://www.grownyc.org/compost/locations,101,21,POINT (-74.0109663 40.71630244000005),10007
Brooklyn,36,Imani Garden,Dusk,Dawn,40.676513671875,1680 Pacific Street,-73.9329833984375,Crown Heights North,,,Everyday,Year Round,Imani Garden,N/A,308,1003,POINT (-73.932987 40.676512),11213
Manhattan,5,Roosevelt Island under the Helix,02:30 PM,09:00 AM,40.76378631591797,Main Street under the Helix,-73.9473648071289,Lenox Hill-Roosevelt Island,,,Saturdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost,108,23801,POINT (-73.947367 40.763788),10044
Manhattan,3,Hudson River Park's Pier 40 at W. Houston St.,7pm,7am,40.72911071777344,Pier 40 at Houston St. near dog park,-74.01067352294922,West Village,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,102,37,POINT (-74.01067254999998 40.72911226000008),10014
Bronx,8,OPEN FOR SEASON: Target Bronx Community Garden,2pm,10:30am,40.83280944824219,1025 Anderson Avenue,-73.9270248413086,Highbridge,,,Friday,Seasonal,Target Bronx Community Garden/ NYRP,www.nyrp.org,204,2000,POINT (-73.927022 40.832809),10452
Manhattan,10,Inwood Greenmarket,1pm,8am,40.86899948120117,"Isham St at Cooper,New York,NY, 10034",-73.92031860351563,park-cemetery-etc-Manhattan,,,Saturday,Year Round,New York Restoration Project & GrowNYC,http://www.grownyc.org/compost/locations,112,303,POINT (-73.92031900999996 40.86900043000003),10034
Manhattan,10,181st Street,11:15am,6:45am,40.85212707519531,Fort Washington Ave btw. 183rd & 185th - W (Bennett Park Entrance),-73.93782043457031,Washington Heights North,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,273,POINT (-73.93781991999998 40.85212854000009),10033
Bronx,11,Mosholu Preservation,04:00 PM,12:00 PM,40.87900161743164,3400 Reservoir Oval East,-73.87569427490234,Norwood,,,Mondays,Year Round,Mosholu Preservation,www.mpcbronx.org,207,1001,POINT (-73.875698 40.879001),10467
Manhattan,9,145th Street,10am,6:30am,40.823646545410156,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),-73.94384765625,Hamilton Heights,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,109,227,POINT (-73.94384436999997 40.82364702000007),10030
Manhattan,1,"West Village (Closed Thursday, 7/4 - Independence Day)",11am,8am,40.73292922973633,6th Avenue and Waverly Place - SE Corner,-74.00006866455078,West Village,,,Thursday,Year Round,NYC Compost Project,www.lesecologycenter.org,102,63,POINT (-74.00006494999997 40.73292796000004),10011
Brooklyn,37,Bushwick Grows! Community Garden,01:00 PM,10:00 AM,40.69760513305664,1474 Gates Ave.,-73.91370391845703,Bushwick North,,,Saturdays,Year Round,Bushwick Grows! Community Garden,riseboro.org,304,3002,POINT (-73.913701 40.697607),11237
Manhattan,10,Dyckman Street,11:30 AM,06:30 AM,40.865055084228516,"Broadway, Riverside Drive, Dyckman Street (Anne Loftus Playground/Fort Tyron Park Entrance)",-73.92841339111328,Washington Heights North,,,Wednesdays,Year Round,GrowNYC,https://www.grownyc.org/compost-go,112,3001,POINT (-73.928413 40.865056),10040
Bronx,16,St. Augustine Food Pantry,5pm,12:30pm,40.82906723022461,1168 Franklin Ave,-73.90428924560547,Morrisania-Melrose,,,Thursday,Year Round,St. Augustine Food Pantry,,203,2000,POINT (-73.904291 40.829067),10456
Manhattan,1,SoHo Broadway and Spring Street,dusk,dawn,40.7230224609375,Broadway at Spring Street,-73.99880981445313,SoHo-TriBeCa-Civic Center-Little Italy,,,Everyday. Register to get access: https://mdicus.wufoo.com/forms/p1b9sjtg0d3oukc/,Year Round,SoHo Broadway Initiative,www.sohobroadway.org,102,43,POINT (-73.99881306999998 40.72302213000006),10012
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Monday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Queens,23,Queens County Farm Museum,05:00 PM,10:00 AM,40.74760818481445,73-50 Little Neck Parkway,-73.7240982055664,Bellerose,,,Everyday,Year Round,Queens County Farm Museum,http://queensfarm.org/,413,1000,POINT (-73.724096 40.747609),11004
Manhattan,2,El Sol Brilliante- Children's Garden,dusk,dawn,40.72810745239258,544 East 12th St.,-73.97944641113281,East Village,,,Everyday,Year Round,El Sol Brilliante- Children's Garden,,103,2000,POINT (-73.979449 40.728107),10009
Bronx,15,OPENING JUNE 14: Fordham Plaza Greenmarket,01:00 PM,11:30 AM,40.86170196533203,E Fordham Rd btw Webster Ave & Third Ave - S,-73.8913803100586,Fordham South,,,Fridays,Year Round,GrowNYC,https://www.google.com/url?q=https://www.grownyc.org/greenmarket/bronx/fordham&sa=D&ust=1529701744031000&usg=AFQjCNEeS7ccxGr2iqQtxYX1e5-bazhCXA,207,397,POINT (-73.89138066999993 40.86170062000008),10458
Manhattan,1,Commuter Composting at East Broadway & Rutgers Street,11am,8am,40.714054107666016,"East Broadway & Rutgers Street (SE corner), Manhattan",-73.99018859863281,Lower East Side,,,Wednesday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,6,POINT (-73.9901883799999 40.714054590000046),10002
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Thursday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Brooklyn,39,Grand Army Plaza Greenmarket,03:30 PM,08:00 AM,40.67256164550781,"Prospect Park West & Plaza Street West, Brooklyn, 11238",-73.9698715209961,Park Slope-Gowanus,,,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,306,165,POINT (-73.969871 40.672562),11238
Queens,29,Commuter Composting at Kew Gardens E/F,09:30 AM,07:30 AM,40.71303939819336,"Kew Gardens Road and 81st. Avenue, Kew Gardens 11415",-73.8298110961914,Kew Gardens,,,Tuesdays,Year Round,NYC Compost Project,,409,216,POINT (-73.82981058999997 40.71303990000007),11415
Manhattan,7,"Columbia University Greenmarket (Closed Thursday, 7/4 - Independence Day)",3pm,8am,40.806705474853516,"Broadway at West 114 St,New York,NY,10025",-73.96485137939453,Morningside Heights,,,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,109,199,POINT (-73.96484934999995 40.806706690000055),10025
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.824302673339844,512 West 143rd Street,-73.95000457763672,Hamilton Heights,,,Friday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031
Queens,26,Queens Library at Broadway,07:00 PM,01:00 PM,40.75847625732422,"40-20 Broadway, Long Island City, NY, 11103",-73.91862487792969,Astoria,,,Mondays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,401,1000,POINT (-73.918628 40.758475),11103
Manhattan,10,"OPENING JUNE 27: 175th Street Greenmarket (Closed Thursday, 7/4 - Independence Day)",2pm,8am,40.845947265625,"175th Street between Wadsworth Avenue and Broadway, New York, NY",-73.93781280517578,Washington Heights South,,,Thursday,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,112,263,POINT (-73.93781123999997 40.84594746000005),10033
Manhattan,2,LES Ecology Center Garden,5:30pm,8am,40.724647521972656,213 E. 7th St,-73.9796371459961,Lower East Side,,,Sunday,Year Round,NYC Compost Project,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,2001,POINT (-73.979638 40.724648),10009
Brooklyn,75,Carroll Gardens Greenmarket,01:00 PM,08:00 AM,40.6805419921875,"Carroll St. btwn Smith & Court Sts, Brooklyn, NY 11231",-73.9946517944336,Carroll Gardens-Columbia Street-Red Hook,,,Sundays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,39,75,POINT (-73.99465318999995 40.68054127000005),11231
Manhattan,10,Swindler Cove,4pm,8am,40.85770034790039,3703 10th Avenue,-73.9222640991211,Marble Hill-Inwood,,,Everyday,Year Round,Swindler Cove,nyrp.org,112,2021,POINT (-73.922263 40.857702),10034
Queens,29,OPEN FOR SEASON: The Compost Collective,12:00 PM,11:00 AM,40.716983795166016,73-24 Yellowstone Blvd.,-73.85765075683594,Forest Hills,,,Saturdays,Seasonal,The Compost Collective,thecompostcollective.com,406,2004,POINT (-73.85764900000001 40.716984),11375
Manhattan,6,"Tucker Square Greenmarket (Closed Thursday, 7/4 - Independence Day)",3:30pm,8am,40.773719787597656,"Columbus Ave & W 66th St, New York, NY 10023",-73.98190307617188,Lincoln Square,,,Thursday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,149,POINT (-73.9819 40.773721),10023
Bronx,17,Project H.O.P.E. Fresh Food Box,6:30pm,3pm,40.81808853149414,854 Hunts Point Ave,-73.88842010498047,Hunts Point,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost/locations,202,2001,POINT (-73.888417 40.818087),10474
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Friday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Thursdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Brooklyn,43,4th Avenue Presbyterian Church,05:00 PM,10:00 AM,40.63547134399414,6753 4th Avenue,-74.02279663085938,Bay Ridge,,,Tuesdays,Year Round,4th Avenue Presbyterian Church,http://www.fourthavenuepresbyterian.org/,310,1004,POINT (-74.0228 40.635473),11220
Queens,22,Commuter Composting at Broadway N/W,11:00 AM,08:00 AM,40.761566162109375,"32-15 31st St, Astoria, NY 11106 ?",-73.92550659179688,Astoria,,,Tuesdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,401,3001,POINT (-73.92551 40.761565),11106
Manhattan,1,OPEN FOR SEASON: M'Finda Kalunga Garden,7:30pm,5:50pm,40.72102737426758,Rivington and Forsyth,-73.99150085449219,Chinatown,,,Thursday,"Seasonal, April-October",M'Finda Kalunga Garden,www.mkgarden.org,103,18,POINT (-73.99150412999995 40.72102638000007),10002
Manhattan,9,FACES NY at 115th,2pm,10am,40.801937103271484,"121 West 115th, 10026",-73.95098876953125,Central Harlem South,,,Wednesday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950989 40.801937),10026
Manhattan,2,Commuter Composting at 1st Ave and 1st St.,11am,8am,40.72293472290039,First Avenue between Houston and First Street (West Side),-73.98863983154297,Chinatown,,,Friday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,3001,POINT (-73.98863936999999 40.72293374000003),10002
Manhattan,2,Creative Little Garden,dusk,dawn,40.724647521972656,530 East 6th Street,-73.98258972167969,East Village,,,Everyday,Year Round,Creative Little Garden,www.creativelittlegarden.org,103,6000,POINT (-73.98258900000002 40.724649),10009
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Wednesday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Brooklyn,39,Big Reuse Brooklyn,06:00 PM,10:00 AM,40.671722412109375,"One 12th St, Brooklyn, NY, 11215",-73.99671173095703,Park Slope-Gowanus,,,Thursdays,Year Round,NYC Compost Project & Community Partners,http://www.bigreuse.org/compost/drop-off-list/,306,119,POINT (-73.996711 40.671721),11215
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-07:00PM,04:00PM,40.67851638793945,20 Somers Street,-73.91161346435547,Ocean Hill,,,Thursdays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233
Manhattan,5,96th Street,10:30am,7:15am,40.785865783691406,96th Street & Lexington Ave - SE Corner (Samuel Seabury Playground),-73.950927734375,Upper East Side-Carnegie Hill,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,108,15801,POINT (-73.95092871999998 40.785866370000065),10128
Queens,20,OPEN FOR SEASON: Queens Botanical Garden DTE Farmers Market,-4:00 PM,8:30 AM,40.75142288208008,82 Dahlia Avenue,-73.82733917236328,Flushing,,,Fridays,"Seasonal, June to November",Down to Earth Markets,downtoearthmarkets.com,407,79702,POINT (-73.827339 40.751422),11355
Manhattan,2,Union Square Greenmarket,5pm,8am,40.736820220947266,"E 17th St & Union Square E, New York, NY",-73.99004364013672,Hudson Yards-Chelsea-Flatiron-Union Square,,,Wednesday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.736822),10003
Manhattan,7,137th Street - City College,11am,7:15am,40.821380615234375,137th St & Broadway - SW (Montefiore Square),-73.95413208007813,Manhattanville,,,Wednesday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,109,22301,POINT (-73.95413257999996 40.82138169000007),10031
Brooklyn,34,Scholes Street Children's Garden,,,40.70847702026367,"134 Scholes St, Brooklyn, NY 11206",-73.94430541992188,East Williamsburg,,,Tuesdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206
Bronx,16,OPEN FOR SEASON: Bronx Borough Hall Greenmarket,02:00 PM,08:00 AM,40.827369689941406,"Grand Concourse and 161 St, Bronx, NY, 10451",-73.92280578613281,West Concourse,,,Tuesdays,"Seasonal Market, June-November",GrowNYC,http://www.grownyc.org/compost/locations,204,18301,POINT (-73.922805 40.827368),10451
Staten Island,49,Olivet Heavenly Harvest,01:00 PM,10:00 AM,40.63019943237305,"97 Myrtle Avenue, Staten Island, NY",-74.115966796875,New Brighton-Silver Lake,,,Tuesdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310
Queens,22,Hellgate Farm,08:00 PM,08:00 AM,40.76889419555664,14-33 30th Drive,-73.92994689941406,Old Astoria,,,Saturdays,Year Round,Hellgate Farm,https://www.hellgatefarm.com/,401,1004,POINT (-73.929944 40.768893),11102
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.790374755859375,270 West 89th Street,-73.97599792480469,Upper West Side,,,Friday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024
Manhattan,1,"OPEN FOR SEASON: Earth Matter, Compost Learning Center",04:00 PM,12:00 PM,40.686954498291016,"758 Enright Rd, New York, NY 10004",-74.02043151855469,park-cemetery-etc-Manhattan,,,Saturdays,"Seasonal, May-October",NYC Compost Project,https://earthmatter.org/nyc-compost-project/,101,5,POINT (-74.020433 40.686956),10004
Manhattan,2,OPENING JULY 7: La Plaza Cultural Community Garden,5pm,10am,40.72541427612305,674 East 9th Street,-73.97862243652344,Lower East Side,Find instructions here for composting at La Plaza: https://drive.google.com/file/d/0BwYV2m0W1uasckhWd2ZZdTRzSVk/view?usp=sharing,,Saturday,Seasonal,La Plaza Cultural Community Garden,laplazacultural.com,103,2000,POINT (-73.978623 40.725414),10009
Manhattan,2,14th Street Y,9pm,7am,40.7312126159668,344 E 14th Street,-73.98336029052734,East Village,,,Sunday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003
Brooklyn,35,Fort Greene Greenmarket,03:00 PM,08:00 AM,40.68962097167969,"Washington Park between Willoughby Avenue & Dekalb Avenue, Brooklyn, NY 11201",-73.9731216430664,Fort Greene,,,Saturdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,31,POINT (-73.97312529999994 40.68962071000004),11217
Manhattan,2,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,5pm,10am,40.72445297241211,115 Avenue C,-73.97887420654297,Lower East Side,,,Saturday,Seasonal,Carmen Pabon del Amanecer Community Garden,,103,2001,POINT (-73.97887300000001 40.724453),10009
Bronx,11,Meg's Community Garden @ Dewitt Clinton High School Campus,Dusk,04:00 PM,40.88145065307617,100 West Mosholu Parkway,-73.88664245605469,Van Cortlandt Village,,,Tuesdays,"Seasonal, May-November",James Baldwin Outdoor Learning Center,,207,409,POINT (-73.886643 40.881451),10468
Manhattan,3,Hudson Square,11:00 AM,08:00 AM,40.72562026977539,6th Avenue & Spring Street -NE Corner,-74.00447845458984,SoHo-TriBeCa-Civic Center-Little Italy,,,Tuesdays,Year Round,NYC Compost Project,www.lesecologycenter.org,102,37,POINT (-74.004482 40.725621),10013
Queens,22,Astoria Library,06:00 PM,10:00 AM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,,,Fridays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Manhattan,1,Hudson River Park's Pier 25 at N. Moore St.,7pm,7am,40.72031784057617,Pier 25 at N. Moore St. near kid's playground,-74.01216888427734,SoHo-TriBeCa-Civic Center-Little Italy,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,101,39,POINT (-74.01216826999996 40.720317900000055),10013
Queens,22,Astoria Library,06:00 PM,01:00 PM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,,,Tuesdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Bronx,17,We Stay/Nos Quedamos,4pm,12pm,40.82114028930664,754 Melrose Avenue,-73.91493225097656,Melrose South-Mott Haven North,,,Tuesday,Year Round,GrowNYC,https://www.grownyc.org/compost/locations,201,1003,POINT (-73.914935 40.82114),10451
Manhattan,2,14th Street Y,9pm,7am,40.7312126159668,344 E 14th Street,-73.98336029052734,East Village,,,Thursday,Year Round,14th Street Y,https://www.14streety.org/about-us/sustainability/,103,6000,POINT (-73.983363 40.731214),10003
Brooklyn,41,OPEN FOR SEASON: Phoenix Community Garden,-07:00PM,04:00PM,40.67851638793945,20 Somers Street,-73.91161346435547,Ocean Hill,,,Fridays,"Seasonal, April-November",Phoenix Community Garden,,316,5002,POINT (-73.911613 40.678515000000004),11233
Manhattan,7,Dorothy K. McGowan Memorial Garden,4pm,1pm,40.834022521972656,513 West 158th Street,-73.9422607421875,Washington Heights South,,,Sunday,Year Round,Dorothy K. McGowan Memorial Garden,,112,7000,POINT (-73.94226400000001 40.834024),10032
Queens,26,Socrates Sculpture Park,Dusk,09:00 AM,40.76777267456055,"Broadway & Vernon Blvd, Queens, NY 11106",-73.93622589111328,Queensbridge-Ravenswood-Long Island City,,,Every Day,Year Round,NYC Compost Project,"http://socratessculpturepark.org/programevent/socratesmarket/

http://www.bigreuse.org/compost/drop-off-list/",401,37,POINT (-73.936225 40.767771),11106
Queens,31,Edgemere Farm,Dusk,Dawn,40.595367431640625,385 Beach 45th St,-73.7767333984375,Hammels-Arverne-Edgemere,,,Everyday,Year Round,Edgemere Farm,http://www.edgemerefarm.org/,414,2003,POINT (-73.776735 40.595368),11691
Bronx,8,Brook Ave,10:45am,6:45am,40.807559967041016,"138th, Brook Ave - NW Corner",-73.91922760009766,Mott Haven-Port Morris,,,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,201,25,POINT (-73.91922579999994 40.80755932000005),10454
Bronx,17,Mary Mitchell Center,06:00 PM,10:00 AM,40.844940185546875,"2007 Mapes Ave, Bronx 10460 at E 178th St",-73.88741302490234,East Tremont,,,Thursday,Year Round- following the DOE calendar. Please look at https://www.schools.nyc.gov/calendar for closures.,Mary Mitchell Center,http://themarymitchellfyc.org/,206,2001,POINT (-73.887411 40.844941),10460
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,8pm,1pm,40.721675872802734,236 East 2nd Street,-73.98201751708984,Lower East Side,,,Sunday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.721676),10009
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Thursday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Fridays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
Queens,21,OPENING JUNE 21: Corona Greenmarket,03:00 PM,08:00 AM,40.74987030029297,"Corona Plaza, Roosevelt Ave at 103 Street, Queens",-73.86272430419922,North Corona,,,Fridays,"Seasonal Market, July-November",GrowNYC,http://www.grownyc.org/greenmarket/queens/corona,403,405,POINT (-73.86272585999995 40.74986911000008),11368
Bronx,17,The Point CDC,6pm,10am,40.81822204589844,940 Garrison Avenue,-73.89046478271484,Hunts Point,,,Wednesday,Year Round,The Point CDC,thepoint.org,202,2005,POINT (-73.890465 40.818221),10474
Manhattan,9,Garden of Love,6pm,10am,40.80439758300781,302 West 116 Street,-73.95604705810547,Central Harlem South,,,Sunday,Year Round,Garden of Love,,110,2000,POINT (-73.956048 40.804396),10026
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Tuesday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Queens,20,Queens Botanical Garden Public Food Scrap Drop-Off,"4:30 PM(Nov-Mar),06:00PM(Apr-Oct)",08:00 AM,40.751731872558594,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",-73.83000183105469,Flushing,,,Wednesdays,Year Round,NYC Compost Project,https://queensbotanical.org,407,1004,POINT (-73.83000300000002 40.751732000000004),11355
,17,OPENING JULY 7: La Familia Verde Farmer's Market,1pm,9am,40.84648513793945,"E Tremont Ave, between Lafontaine and Arthur Aves, Bronx 10457",-73.89434051513672,Claremont-Bathgate,,,Tuesday,"Seasonal, July-November",GrowNYC,https://www.grownyc.org/compost/locations; http://www.lafamiliaverde.org/,206,395,POINT (-73.89433677999995 40.84648672000003),10457
Bronx,11,Church of the Mediator/La Iglesia El Mediador,10:00 AM,08:00 AM,40.87980651855469,W 231 St & Kingsbridge Ave,-73.90657806396484,Spuyten Duyvil-Kingsbridge,,,Tuesdays,Year Round,Serviced/Managed by Volunteers from Church of the Mediator,churchofthemediator.org,208,289,POINT (-73.90657531999994 40.87980696000005),10463
Manhattan,1,Commuter Composting at Grand Street & Clinton Street,11am,8am,40.7159538269043,"Grand Street & Clinton Street (SW corner), Manhattan",-73.98672485351563,Lower East Side,,,Friday,Year Round,NYC Compost Project,www.lesecologycenter.org,103,1401,POINT (-73.98672146999996 40.71595361000004),10002
Queens,24,Commuter Composting at Briarwood E/F,09:30 AM,07:30 AM,40.70998764038086,Briarwood E/F Subway Station Entrance (North Side of Queens Boulevard),-73.81996154785156,Kew Gardens,,,Tuesdays,Year Round,NYC Compost Project,,408,22001,POINT (-73.819962 40.709987),11435
