Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.824302673339844,512 West 143rd Street,-73.95000457763672,Hamilton Heights,,,Wednesday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031
Brooklyn,34,Scholes Street Children's Garden,,,40.70847702026367,"134 Scholes St, Brooklyn, NY 11206",-73.94430541992188,East Williamsburg,,,Saturdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206
Manhattan,7,The Brotherhood/Sister Sol,7pm,11am,40.824302673339844,512 West 143rd Street,-73.95000457763672,Hamilton Heights,,,Tuesday,Year Round,The Brotherhood/Sister Sol,https://brotherhood-sistersol.org/,109,2001,POINT (-73.950001 40.824301),10031
Bronx,17,PSS - Andrew Jackson Senior Center,1pm,9am,40.822330474853516,765 Courtlandt Avenue,-73.91825866699219,Melrose South-Mott Haven North,,,Monday,Year Round,PSS - Andrew Jackson Senior Center,https://www.grownyc.org/compost/locations,201,3000,POINT (-73.918258 40.822331),10451
Manhattan,1,Tribeca Greenmarket,1pm,8am,40.71630096435547,"Greenwich Street at Chambers Street,New York,NY",-74.0109634399414,Battery Park City-Lower Manhattan,,,Wednesday,Year Round,"GrowNYC, NYC Dept of Sanitation & Community Partners",http://www.grownyc.org/compost/locations,101,21,POINT (-74.0109663 40.71630244000005),10007
Manhattan,3,"Commuter Composting at 23rd Street C/E (Closed Thursday, 7/4 - Independence Day)",11am,8am,40.74529266357422,"West 23rd Street and 8th Avenue -SW Corner, New York, NY 10011",-73.99848937988281,Hudson Yards-Chelsea-Flatiron-Union Square,,,Thursday,Year Round,NYC Compost Project,www.lesecologycenter.org,104,91,POINT (-73.99848786999996 40.74529306000005),10011
Manhattan,3,Mathews-Palmer Park,9pm,7am,40.76139450073242,437 W 45 St,-73.99273681640625,Clinton,,,Everyday,"Seasonal, June - November",NYC Parks,https://www.nycgovparks.org/parks/matthews-palmer-playground,104,6000,POINT (-73.992737 40.761394),10036
Brooklyn,41,Iso Student Farm,12:00 PM,09:00 AM,40.66746520996094,514 Rockaway Avenue,-73.91048431396484,Brownsville,,,Wednesdays,Seasonal,Isabahlia LOE Foundation,www.isabahlialoeinc.org,316,1005,POINT (-73.910481 40.66746400000001),11212
Manhattan,2,CLOSED FOR SEASON: Peach Tree Garden,6pm,2pm,40.721675872802734,236 East 2nd Street,-73.98201751708984,Lower East Side,,,Wednesday,"Seasonal, April-October",Peach Tree Garden,,103,1001,POINT (-73.98202 40.721676),10009
Manhattan,9,FACES NY at 116th,2pm,10am,40.80215835571289,"114 West 116th, 10026",-73.95074462890625,Central Harlem South,,,Wednesday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950743 40.802157),10026
